,text,intent,slots,pattern_id
0,آسمون جل,offensive,o o,3000000
1,آشغال,offensive,o,3000001
2,آشغال کله,offensive,o o,3000002
3,آویزون,offensive,o,3000003
4,ابله,offensive,o,3000004
5,احمق,offensive,o,3000005
6,از آدم به دور,offensive,o o o o,3000006
7,از آدمیت به دور,offensive,o o o o,3000007
8,ازگل,offensive,o,3000008
9,استفراغ,offensive,o,3000009
10,اسکل,offensive,o,3000010
11,اسگل,offensive,o,3000011
12,اعصاب خوردکن,offensive,o o,3000012
13,افغانی,offensive,o,3000013
14,الاغ,offensive,o,3000014
15,الدنگ,offensive,o,3000015
16,ان,offensive,o,3000016
17,ان دماغ,offensive,o o,3000017
18,انتر,offensive,o,3000018
19,انچوچک,offensive,o,3000019
20,انگل,offensive,o,3000020
21,اوشکول,offensive,o,3000021
22,اوشگول,offensive,o,3000022
23,ای بر روح پدرت,offensive,o o o o,3000023
24,ای بروح اون پدرت شاشیدم,offensive,o o o o o,3000024
25,ای بروح اون پدرتون شاشیدم,offensive,o o o o o,3000025
26,ای بروح اون پدرش شاشیدم,offensive,o o o o o,3000026
27,ای بروح اون پدرشون شاشیدم,offensive,o o o o o,3000027
28,ای بروح پدرت,offensive,o o o,3000028
29,ای بروح پدرت شاشیدم,offensive,o o o o,3000029
30,ای بروح پدرتون,offensive,o o o,3000030
31,ای بروح پدرتون شاشیدم,offensive,o o o o,3000031
32,ای بروح پدرش,offensive,o o o,3000032
33,ای بروح پدرش شاشیدم,offensive,o o o o,3000033
34,ای بروح پدرشون,offensive,o o o,3000034
35,ای بروح پدرشون شاشیدم,offensive,o o o o,3000035
36,ای به اون روح پدرت شاشیدم,offensive,o o o o o o,3000036
37,ای به اون روح پدرتون شاشیدم,offensive,o o o o o o,3000037
38,ای به اون روح پدرش شاشیدم,offensive,o o o o o o,3000038
39,ای به اون روح پدرشون شاشیدم,offensive,o o o o o o,3000039
40,ای به روح اون پدرت شاشیدم,offensive,o o o o o o,3000040
41,ای به روح اون پدرتون شاشیدم,offensive,o o o o o o,3000041
42,ای به روح اون پدرش شاشیدم,offensive,o o o o o o,3000042
43,ای به روح اون پدرشون شاشیدم,offensive,o o o o o o,3000043
44,ای به روح پدرت,offensive,o o o o,3000044
45,ای به روح پدرتون,offensive,o o o o,3000045
46,ای به روح پدرش,offensive,o o o o,3000046
47,ای به روح پدرشون,offensive,o o o o,3000047
48,ای تو روح بابا ننه‌ات,offensive,o o o o o,3000048
49,ای تو روح بابا ننه‌اش,offensive,o o o o o,3000049
50,ای تو روح بابا ننه‌ت,offensive,o o o o o,3000050
51,ای تو روح بابا ننه‌تون,offensive,o o o o o,3000051
52,ای تو روح بابا ننه‌ش,offensive,o o o o o,3000052
53,ای تو روح بابا ننه‌شون,offensive,o o o o o,3000053
54,ای تو روح بابا و ننه‌ات,offensive,o o o o o o,3000054
55,ای تو روح بابا و ننه‌اش,offensive,o o o o o o,3000055
56,ای تو روح بابا و ننه‌ت,offensive,o o o o o o,3000056
57,ای تو روح بابا و ننه‌تون,offensive,o o o o o o,3000057
58,ای تو روح بابا و ننه‌ش,offensive,o o o o o o,3000058
59,ای تو روح بابا و ننه‌شون,offensive,o o o o o o,3000059
60,ای تو روح بابات,offensive,o o o o,3000060
61,ای تو روح باباتون,offensive,o o o o,3000061
62,ای تو روح باباش,offensive,o o o o,3000062
63,ای تو روح باباشون,offensive,o o o o,3000063
64,ای تو روح پدرت,offensive,o o o o,3000064
65,ای تو روح پدرتون,offensive,o o o o,3000065
66,ای تو روح پدرش,offensive,o o o o,3000066
67,ای تو روح پدرشون,offensive,o o o o,3000067
68,ای تو روح ننت,offensive,o o o o,3000068
69,ای تو روح ننتون,offensive,o o o o,3000069
70,ای تو روح ننش,offensive,o o o o,3000070
71,ای تو روح ننشون,offensive,o o o o,3000071
72,ای تو روح ننه‌ات,offensive,o o o o,3000072
73,ای تو روح ننه‌اش,offensive,o o o o,3000073
74,ای تو روحت,offensive,o o o,3000074
75,ای تو روحتون,offensive,o o o,3000075
76,ای تو روحش,offensive,o o o,3000076
77,ای تو روحشون,offensive,o o o,3000077
78,ایکبیر,offensive,o,3000078
79,ایکبیری,offensive,o,3000079
